Fecha,Mexico,US,Internacional
10/09/2008,25622.91016,1313.683715,449.6807488
11/09/2008,25552.49023,1329.941634,441.2299214
12/09/2008,25588.41016,1328.358108,451.8461395
15/09/2008,24618.15039,1289.898656,438.5591345
16/09/2008,24618.15039,1309.498059,434.3544
17/09/2008,23456.83984,1260.19262,422.6578698
18/09/2008,24577.90039,1290.39229,438.8000315
19/09/2008,25701.0293,1315.299672,461.92323
22/09/2008,25131.91016,1289.767899,456.43176
23/09/2008,24969.16992,1272.942512,451.4087147
24/09/2008,24944.25,1289.427167,458.070275
25/09/2008,25645.5,1295.738499,462.020504
26/09/2008,25593.76953,1303.850628,459.0719392
29/09/2008,23955.66992,1229.590615,420.6087379
30/09/2008,24888.90039,1267.828673,436.236255
01/10/2008,25117.32031,1271.089098,434.684869
02/10/2008,24027.34961,1253.335153,422.6714712
03/10/2008,22989.5,1235.256255,418.5810388
06/10/2008,21749.13086,1239.759148,414.594776
07/10/2008,20884.74023,1227.368088,407.2412877
08/10/2008,20678.9707,1197.130295,400.8440746
09/10/2008,20310.19922,1221.91036,409.81824
10/10/2008,19905.26953,1152.27,389.037587
13/10/2008,22095.89063,1231.706526,417.9416578
14/10/2008,22244.60938,1239.138475,416.6037
15/10/2008,21135.41992,1198.61626,398.25165
16/10/2008,20457.92969,1196.045689,399.617283
17/10/2008,20312.83008,1195.418237,398.0880128
20/10/2008,20786.21094,1283.116991,423.333794
21/10/2008,20203.26953,1266.789913,408.0791868
22/10/2008,18787.33984,1252.445378,393.8073
23/10/2008,17798.99023,1217.184777,375.6824867
24/10/2008,16978.83984,1159.633933,360.92007
27/10/2008,16891.0293,1134.164459,345.0454135
28/10/2008,18632.5293,1220.005146,372.1432
29/10/2008,19157.33008,1199.010046,376.91269
30/10/2008,20207.01953,1213.380038,384.174
31/10/2008,20445.32031,1239.424026,393.344
03/11/2008,20612.67969,1239.172168,396.468735
04/11/2008,21535.26953,1248.09635,410.6872124
05/11/2008,20446.76953,1228.567563,402.8383548
06/11/2008,19650.85938,1187.930911,383.469219
07/11/2008,19865.2207,1205.631713,397.29585
10/11/2008,20020.5293,1183.274108,391.0182748
11/11/2008,19795.25,1161.803301,376.8710529
12/11/2008,18804.94922,1120.55174,360.11206
13/11/2008,19710.09961,1178.016661,384.7903709
14/11/2008,19562.14063,1134.288939,364.8267131
17/11/2008,19562.14063,1126.357861,367.67736
18/11/2008,19036.23047,1140.922186,360.9600869
19/11/2008,18578.38086,1101.6355,344.54833
20/11/2008,18190.69922,1053.032973,336.775157
21/11/2008,18251.41016,1091.491479,352.7582137
24/11/2008,19529.25,1139.359472,371.0321684
25/11/2008,19297.63086,1132.091179,368.72919
26/11/2008,20025.78906,1172.268733,376.70184
28/11/2008,20534.7207,1206.305046,382.6862
01/12/2008,19533.08008,1124.250134,362.838
02/12/2008,19802.26953,1156.858049,371.7358
03/12/2008,20147.00977,1186.381912,375.941222
04/12/2008,19916.21094,1159.227041,362.0375864
05/12/2008,20081.83008,1212.99435,375.7758
08/12/2008,21168.7207,1222.4303,385.4013904
09/12/2008,21439.65039,1213.799,385.9745064
10/12/2008,21689.83984,1208.654454,394.0768646
11/12/2008,21408.34961,1165.161056,388.872825
12/12/2008,21408.34961,1203.856693,399.076
15/12/2008,21050.55078,1169.05815,392.750248
16/12/2008,22032.53906,1196.948285,403.8463
17/12/2008,22572.5,1192.423924,405.07555
18/12/2008,22347.16992,1172.154488,394.2188381
19/12/2008,22221.64063,1156.170926,388.3182131
22/12/2008,22059.17969,1145.448394,386.6842168
23/12/2008,22174.25977,1148.642093,386.6135
24/12/2008,22340.69922,1148.097731,386.585394
26/12/2008,22515.33984,1170.123054,395.90325
29/12/2008,22392.38086,1188.928855,405.4751863
30/12/2008,22420.00977,1225.285957,417.977165
31/12/2008,22380.32031,1241.341412,422.5843062
02/01/2009,23250.96094,1280.523986,429.9177362
05/01/2009,23238.85938,1246.743348,418.535175
06/01/2009,23005.41016,1248.291863,421.61735
07/01/2009,22117.50977,1218.151423,413.2606
08/01/2009,21955.40039,1244.061614,423.75165
09/01/2009,21741.28906,1221.334755,412.6409
12/01/2009,21162.26953,1197.501444,402.1511738
13/01/2009,21047.30078,1203.337554,394.66598
14/01/2009,20369.23047,1190.418557,386.741395
15/01/2009,20280.49023,1173.944948,386.122168
16/01/2009,20325.39063,1184.290352,387.1986161
20/01/2009,19213.01953,1128.084741,360.673488
21/01/2009,19497.09961,1153.670341,372.3863663
22/01/2009,19306.73047,1161.81,369.8136
23/01/2009,19348.81055,1169.191494,368.7222659
26/01/2009,19583.08008,1175.704,374.573
39840,19616.15039,1201.145927,388.351101
39841,20145.2207,1225.601041,396.192125
39842,19537.05078,1199.578533,382.5030738
39843,19565.14063,1186.871099,381.1514
39846,19565.14063,1190.795371,381.117957
39847,19630.46094,1219.564209,395.9870176
39848,19622.59961,1200.868659,390.10577
39849,19736.96094,1212.623859,394.7444253
39850,20438.13086,1230.941002,400.6431058
39853,20537.09961,1241.775961,404.040546
39854,19825.7207,1205.909493,389.297934
39855,19446.65039,1210.569771,393.8696145
39856,19358.25,1209.807318,390.73622
39857,19368.09961,1200.102789,388.3367945
39861,18853.92969,1164.660767,371.6564627
39862,18741.26953,1155.552936,368.174406
39863,18682.4707,1153.89771,370.46345
39864,18324.23047,1148.91277,365.806
39867,17956.40039,1116.069785,356.424688
39868,18296.10938,1145.898252,366.6341988
39869,18200.69922,1149.344911,362.730668
39870,18047.16016,1132.976695,361.677535
39871,17752.17969,1134.0862,368.7736153
39874,16929.80078,1088.087169,349.23592
39875,17093.25,1073.766694,347.399614
